timestamp,tag_name,value
2026-01-01T00:00:00,KILN_ZONE1_TEMP,1380.4
2026-01-01T00:00:00,KILN_ZONE2_TEMP,1322.877
2026-01-01T00:00:00,KILN_FUEL_FLOW,42.3
2026-01-01T00:01:00,KILN_ZONE1_TEMP,1382.165
2026-01-01T00:01:00,KILN_ZONE2_TEMP,1324.027
2026-01-01T00:01:00,KILN_FUEL_FLOW,42.565
2026-01-01T00:02:00,KILN_ZONE1_TEMP,1383.688
2026-01-01T00:02:00,KILN_ZONE2_TEMP,1325.042
2026-01-01T00:02:00,KILN_FUEL_FLOW,42.758
2026-01-01T00:03:00,KILN_ZONE1_TEMP,1384.916
2026-01-01T00:03:00,KILN_ZONE2_TEMP,1325.872
2026-01-01T00:03:00,KILN_FUEL_FLOW,42.889
2026-01-01T00:04:00,KILN_ZONE1_TEMP,1385.848
2026-01-01T00:04:00,KILN_ZONE2_TEMP,1326.478
2026-01-01T00:04:00,KILN_FUEL_FLOW,42.978
2026-01-01T00:05:00,KILN_ZONE1_TEMP,1386.518
2026-01-01T00:05:00,KILN_ZONE2_TEMP,1326.831
2026-01-01T00:05:00,KILN_FUEL_FLOW,43.045
2026-01-01T00:06:00,KILN_ZONE1_TEMP,1386.971
2026-01-01T00:06:00,KILN_ZONE2_TEMP,1326.919
2026-01-01T00:06:00,KILN_FUEL_FLOW,43.11
2026-01-01T00:07:00,KILN_ZONE1_TEMP,1387.249
2026-01-01T00:07:00,KILN_ZONE2_TEMP,1326.745
2026-01-01T00:07:00,KILN_FUEL_FLOW,43.184
2026-01-01T00:08:00,KILN_ZONE1_TEMP,1387.376
2026-01-01T00:08:00,KILN_ZONE2_TEMP,1326.326
2026-01-01T00:08:00,KILN_FUEL_FLOW,43.264
2026-01-01T00:09:00,KILN_ZONE1_TEMP,1387.363
2026-01-01T00:09:00,KILN_ZONE2_TEMP,1325.692
2026-01-01T00:09:00,KILN_FUEL_FLOW,43.337
2026-01-01T00:10:00,KILN_ZONE1_TEMP,1387.21
2026-01-01T00:10:00,KILN_ZONE2_TEMP,1324.882
2026-01-01T00:10:00,KILN_FUEL_FLOW,43.379
2026-01-01T00:11:00,KILN_ZONE1_TEMP,1386.922
2026-01-01T00:11:00,KILN_ZONE2_TEMP,1323.943
2026-01-01T00:11:00,KILN_FUEL_FLOW,43.363
2026-01-01T00:12:00,KILN_ZONE1_TEMP,1386.51
2026-01-01T00:12:00,KILN_ZONE2_TEMP,1322.924
2026-01-01T00:12:00,KILN_FUEL_FLOW,43.266
2026-01-01T00:13:00,KILN_ZONE1_TEMP,1385.996
2026-01-01T00:13:00,KILN_ZONE2_TEMP,1321.875
2026-01-01T00:13:00,KILN_FUEL_FLOW,43.072
2026-01-01T00:14:00,KILN_ZONE1_TEMP,1385.402
2026-01-01T00:14:00,KILN_ZONE2_TEMP,1320.84
2026-01-01T00:14:00,KILN_FUEL_FLOW,42.781
2026-01-01T00:15:00,KILN_ZONE1_TEMP,1384.741
2026-01-01T00:15:00,KILN_ZONE2_TEMP,1319.855
2026-01-01T00:15:00,KILN_FUEL_FLOW,42.407
2026-01-01T00:16:00,KILN_ZONE1_TEMP,1384.007
2026-01-01T00:16:00,KILN_ZONE2_TEMP,1318.949
2026-01-01T00:16:00,KILN_FUEL_FLOW,41.982
2026-01-01T00:17:00,KILN_ZONE1_TEMP,1383.165
2026-01-01T00:17:00,KILN_ZONE2_TEMP,1318.14
2026-01-01T00:17:00,KILN_FUEL_FLOW,41.545
2026-01-01T00:18:00,KILN_ZONE1_TEMP,1382.17
2026-01-01T00:18:00,KILN_ZONE2_TEMP,1317.436
2026-01-01T00:18:00,KILN_FUEL_FLOW,41.139
2026-01-01T00:19:00,KILN_ZONE1_TEMP,1380.973
2026-01-01T00:19:00,KILN_ZONE2_TEMP,1316.839
2026-01-01T00:19:00,KILN_FUEL_FLOW,40.803
2026-01-01T00:20:00,KILN_ZONE1_TEMP,1379.553
2026-01-01T00:20:00,KILN_ZONE2_TEMP,1316.34
2026-01-01T00:20:00,KILN_FUEL_FLOW,40.566
2026-01-01T00:21:00,KILN_ZONE1_TEMP,1377.933
2026-01-01T00:21:00,KILN_ZONE2_TEMP,1315.931
2026-01-01T00:21:00,KILN_FUEL_FLOW,40.441
2026-01-01T00:22:00,KILN_ZONE1_TEMP,1376.194
2026-01-01T00:22:00,KILN_ZONE2_TEMP,1315.598
2026-01-01T00:22:00,KILN_FUEL_FLOW,40.424
2026-01-01T00:23:00,KILN_ZONE1_TEMP,1374.473
2026-01-01T00:23:00,KILN_ZONE2_TEMP,1315.333
2026-01-01T00:23:00,KILN_FUEL_FLOW,40.497
2026-01-01T00:24:00,KILN_ZONE1_TEMP,1372.937
2026-01-01T00:24:00,KILN_ZONE2_TEMP,1315.129
2026-01-01T00:24:00,KILN_FUEL_FLOW,40.632
2026-01-01T00:25:00,KILN_ZONE1_TEMP,1371.756
2026-01-01T00:25:00,KILN_ZONE2_TEMP,1314.984
2026-01-01T00:25:00,KILN_FUEL_FLOW,40.798
2026-01-01T00:26:00,KILN_ZONE1_TEMP,1371.058
