timestamp,kiln_feed_rate_tph,fuel_rate_tph,kiln_speed_rpm,burning_zone_temp_c,id_fan_speed_pct,o2_pct,co_ppm,nox_mgnm3,secondary_air_temp_c,clinker_temp_c
2026-01-01 00:00:00,210.5,11.2,3.8,1445.2,72.1,2.8,210,520,1020.4,118.3
2026-01-01 00:01:00,211.0,11.3,3.8,1447.0,72.4,2.7,205,531,1022.1,119.0
2026-01-01 00:02:00,210.8,11.2,3.79,1446.1,72.2,2.75,212,525,1021.5,118.6
2026-01-01 00:03:00,212.1,11.4,3.81,1449.5,72.8,2.6,198,540,1024.0,120.1
2026-01-01 00:04:00,212.4,11.5,3.82,1451.2,73.0,2.55,190,548,1025.6,121.0
2026-01-01 00:05:00,211.7,11.3,3.8,1448.0,72.5,2.7,201,533,1022.9,119.4
2026-01-01 00:06:00,210.2,11.1,3.78,1443.8,71.9,2.85,220,518,1019.2,117.7
2026-01-01 00:07:00,209.8,11.0,3.77,1442.0,71.6,2.9,228,510,1018.0,117.0
2026-01-01 00:08:00,210.6,11.2,3.79,1445.5,72.0,2.78,214,522,1020.8,118.5
2026-01-01 00:09:00,211.9,11.4,3.81,1450.1,72.7,2.62,196,545,1024.7,120.6
